"date","Ws_hourly_avg","co","pm10","T_met","visib_met","press_met"
2003-03-21 00:00:00,4.4,0.87,177,32.2222222222222,7,0
2003-03-21 08:00:00,12.5,1.56,174,31.1111111111111,7,0
2003-03-21 16:00:00,11.4,0.58,98,27.7777777777778,7,0
2003-03-22 00:00:00,9.6,0.62,105,32.2222222222222,7,0
2003-03-22 08:00:00,12.5,1.16,112,32.2222222222222,7,0
2003-03-22 16:00:00,12.3,0.4,83,26.1111111111111,7,0
2003-03-23 00:00:00,11.7,0.45,96,32.2222222222222,7,0
2003-03-23 08:00:00,11.5,0.48,84,31.1111111111111,7,0
2003-03-23 16:00:00,10.5,0.76,96,27.2222222222222,7,0
2003-03-24 00:00:00,7.1,0.37,77,32.2222222222222,7,0
2003-03-24 08:00:00,8,0.82,107,31.1111111111111,7,0
2003-03-24 16:00:00,9.2,0.83,120,27.7777777777778,7,0
2003-03-25 00:00:00,5.7,0.65,93,31.1111111111111,7,0
2003-03-25 08:00:00,12.2,1.29,135,31.1111111111111,7,0
2003-03-25 16:00:00,10.9,0.92,88,25,7,0
2003-03-26 00:00:00,5.8,0.39,92,27.7777777777778,7,0
2003-03-26 08:00:00,10.7,0.94,106,27.7777777777778,7,0
2003-03-26 16:00:00,9,0.83,123,26.1111111111111,7,0
2003-03-27 00:00:00,4.1,0.65,101,30,7,0
2003-03-27 08:00:00,9.2,1.32,106,30,7,0
2003-03-27 16:00:00,12.3,0.63,100,26.1111111111111,7,0
2003-03-28 00:00:00,4.7,0.95,146,30,7,0
2003-03-28 08:00:00,9.4,1.37,157,28.8888888888889,7,0
2003-03-28 16:00:00,9.6,0.45,97,27.2222222222222,7,0
2003-03-29 00:00:00,8.1,0.83,130,32.2222222222222,7,0
2003-03-29 08:00:00,11.5,0.63,89,31.1111111111111,7,0
2003-03-29 16:00:00,12.5,0.28,95,25,7,0
2003-03-30 00:00:00,6.3,0.35,71,32.2222222222222,7,0
2003-03-30 08:00:00,11.8,0.88,96,31.1111111111111,7,0
2003-03-30 16:00:00,12.3,0,92,27.2222222222222,7,0
2003-03-31 00:00:00,5.3,0,91,30,7,0
2003-03-31 08:00:00,9.2,0,169,28.8888888888889,5.6,0
2003-03-31 16:00:00,7.7,0,140,26.1111111111111,5,0
2003-04-01 00:00:00,5.1,0,108,32.2222222222222,7,0
2003-04-01 08:00:00,10.4,0.38,172,30,7,0
2003-04-01 16:00:00,0,0,0,0,0,0
2003-04-02 00:00:00,5.2,0.31,95,30,7,0
2003-04-02 08:00:00,13.3,1.63,109,31.1111111111111,7,0
2003-04-02 16:00:00,14.1,0.8,96,27.7777777777778,7,0
2003-04-03 00:00:00,3.9,1.12,123,32.2222222222222,7,0
2003-04-03 08:00:00,9.2,1.84,165,32.2222222222222,7,0
